ID,Brand,Category,Model Name,Reference No.,Price (USD),Currency,Release Date,Gender,Case Material,Case Diameter (mm),Case Thickness (mm),Dial Color,Strap Material,Strap Color,Water Resistance (m),Crystal Type,Movement Type,Power Reserve (hours),Complications,Availability,Warranty (Years),Country of Origin
28217,Omega,Dress,Speedmaster,OM65661,10406.19,USD,25/03/2025,Unisex,Aluminum,40.9,11.8,Gray,Nylon,Brown,300,Hardlex,Automatic,70,Date,Limited Stock,5,Switzerland
28218,Timex,Casual,Weekender,TI29743,2397.82,USD,02/07/2021,Men's,Titanium,43.9,8.3,Gray,Silicone,Red,200,Mineral,Quartz,0,World Time,Out of Stock,1,USA
28219,Tissot,Classic,Le Locle,TI97341,1721.64,USD,30/09/2024,Women's,Aluminum,38.7,14.5,Blue,Nylon,Brown,50,Mineral,Automatic,0,Moonphase,Out of Stock,5,Switzerland
28220,Longines,Dress,Master Collection,LO91441,9036.94,USD,17/11/2024,Unisex,Brass,36.6,14.5,Blue,Leather,Blue,30,Sapphire,Automatic,0,Moonphase,Out of Stock,5,Switzerland
28221,Seiko,Sports,Prospex,SE14487,714.82,USD,22/02/2021,Women's,Bronze,38.8,9.5,Red,Silicone,Silver,300,Sapphire,Quartz,40,Date,Limited Stock,3,Japan
28222,Casio,Digital,G-Shock,CA74727,5201.25,USD,27/08/2024,Men's,Stainless Steel,37.7,10.6,Silver,Silicone,Red,200,Gorilla Glass,Digital,70,Moonphase,Out of Stock,1,Japan
28223,TAG Heuer,Sports,Carrera,TA96272,1600.41,USD,19/02/2021,Unisex,Aluminum,37.7,9.4,White,Rubber,Silver,100,Plastic,Automatic,40,Moonphase,In Stock,4,Switzerland
28224,TAG Heuer,Sports,Carrera,TA43644,8995.25,USD,01/12/2021,Unisex,Titanium,41.5,7.4,Black,Canvas,Brown,300,Hardlex,Automatic,70,GMT,Out of Stock,1,Switzerland
28225,Swatch,Fashion,MoonSwatch,SW15732,13238.22,USD,24/08/2022,Unisex,Ceramic,40.3,8.6,Red,Nylon,Blue,100,Gorilla Glass,Quartz,60,Chronograph,Pre-Order,4,Switzerland
28226,TAG Heuer,Sports,Carrera,TA20500,3875.35,USD,01/02/2024,Women's,Stainless Steel,34.4,6.7,Black,Rubber,Brown,300,Sapphire,Automatic,40,Moonphase,Pre-Order,5,Switzerland
28227,Orient,Classic,Bambino,OR86179,3878.17,USD,14/12/2020,Unisex,Ceramic,41.1,14.2,Silver,Leather,Blue,30,Mineral,Automatic,80,Moonphase,Out of Stock,4,Japan
28228,Longines,Dress,Master Collection,LO37111,9365.46,USD,09/01/2024,Unisex,Bioceramic,44.6,11.8,Blue,Leather,Black,30,Hardlex,Automatic,70,GMT,Pre-Order,5,Switzerland
28229,Garmin,Smartwatch,Fenix,GA16573,2871.8,USD,29/08/2021,Unisex,Bioceramic,43.5,7.2,Red,Nylon,Red,30,Mineral,Digital,70,World Time,Out of Stock,2,Taiwan
28230,Fossil,Fashion,Gen 6,FO17697,10118.61,USD,21/06/2023,Women's,Titanium,43.9,7,Black,Mesh Steel,Black,200,Hardlex,Smart,60,Moonphase,Out of Stock,3,USA
28231,Daniel Wellington,Minimalist,Petite,DA67983,7410.73,USD,06/11/2020,Women's,Stainless Steel,40.7,12.6,Gold,Silicone,Green,100,Hardlex,Quartz,40,Date,Limited Stock,4,Sweden
28232,Orient,Classic,Bambino,OR81964,6649.7,USD,06/01/2025,Women's,Resin,37,12.8,Silver,Nylon,Gold,200,Plastic,Automatic,60,GMT,In Stock,5,Japan
28233,Seiko,Sports,Prospex,SE26598,1324.96,USD,31/05/2024,Women's,Ceramic,34.6,13.9,Silver,Silicone,Black,30,Sapphire,Quartz,60,Date,Limited Stock,2,Japan
28234,Casio,Digital,G-Shock,CA55440,5822.68,USD,16/10/2020,Men's,Ceramic,33.7,9.6,Red,Rubber,Red,100,Gorilla Glass,Digital,80,Chronograph,Out of Stock,5,Japan
28235,Omega,Dress,Speedmaster,OM30185,11959.68,USD,20/06/2023,Men's,Bronze,39.7,13.9,Gray,Canvas,Green,50,Plastic,Automatic,40,Date,Out of Stock,5,Switzerland
28236,Garmin,Smartwatch,Fenix,GA66751,8575.89,USD,11/04/2024,Women's,Brass,32.2,14.3,Green,Silicone,Red,200,Mineral,Digital,70,World Time,Pre-Order,3,Taiwan
28237,Longines,Dress,Master Collection,LO72960,2940.32,USD,29/07/2021,Men's,Brass,35.1,6.6,Green,Silicone,Brown,200,Sapphire,Automatic,40,Date,Out of Stock,4,Switzerland
28238,Hublot,Luxury,Big Bang,HU31514,5652.12,USD,18/04/2021,Unisex,Stainless Steel,42.1,14.1,Red,Mesh Steel,Black,30,Hardlex,Automatic,0,World Time,Limited Stock,1,Switzerland
28239,Hamilton,Military,Khaki Field,HA31330,6363.7,USD,18/06/2022,Men's,Bronze,44.9,11.9,Black,Rubber,Black,100,Mineral,Automatic,40,World Time,Out of Stock,4,USA
28240,Fossil,Fashion,Gen 6,FO57306,807.62,USD,14/07/2020,Unisex,Ceramic,32.3,7.6,Gold,Leather,Black,200,Mineral,Smart,80,World Time,In Stock,1,USA
28241,Orient,Classic,Bambino,OR57306,5790.79,USD,06/09/2022,Men's,Resin,43.3,11.4,Red,Mesh Steel,Gold,30,Gorilla Glass,Automatic,60,None,Out of Stock,2,Japan
28242,Timex,Casual,Weekender,TI73455,10947.32,USD,08/12/2020,Women's,Brass,32.1,10.7,Silver,Silicone,Silver,200,Sapphire,Quartz,70,Moonphase,In Stock,2,USA
28243,TAG Heuer,Sports,Carrera,TA97079,858.92,USD,10/12/2023,Men's,Aluminum,42.8,6.5,Green,Rubber,Green,300,Plastic,Automatic,0,GMT,In Stock,3,Switzerland
28244,Timex,Casual,Weekender,TI92048,5856.17,USD,12/01/2023,Women's,Bronze,33.9,13.2,Black,Rubber,Red,30,Mineral,Quartz,40,Chronograph,Pre-Order,3,USA
28245,Rolex,Luxury,Oyster Perpetual,RO22278,451.92,USD,23/03/2021,Women's,Resin,36.8,7.3,Green,Silicone,Brown,200,Hardlex,Automatic,70,GMT,Limited Stock,5,Switzerland
28246,Longines,Dress,Master Collection,LO17970,5804.34,USD,28/05/2024,Women's,Ceramic,40.2,6.7,Gray,Rubber,Blue,300,Plastic,Automatic,0,GMT,Out of Stock,4,Switzerland
28247,TAG Heuer,Sports,Carrera,TA92167,9371.46,USD,29/03/2023,Women's,Resin,38.1,13,Gold,Leather,Black,100,Mineral,Automatic,40,None,In Stock,5,Switzerland
28248,Hublot,Luxury,Big Bang,HU50904,9143.06,USD,27/04/2024,Unisex,Bioceramic,39.6,13.5,White,Leather,Silver,200,Sapphire,Automatic,70,World Time,In Stock,2,Switzerland
28249,Garmin,Smartwatch,Fenix,GA12120,3423.38,USD,25/09/2023,Unisex,Titanium,40,13.9,Red,Mesh Steel,Red,30,Sapphire,Digital,60,None,Pre-Order,2,Taiwan
28250,Rolex,Luxury,Oyster Perpetual,RO34001,10644.66,USD,02/11/2022,Men's,Brass,41,11.9,White,Leather,Silver,30,Sapphire,Automatic,0,Chronograph,Limited Stock,3,Switzerland
28251,Hamilton,Military,Khaki Field,HA90893,9377.56,USD,27/06/2021,Unisex,Ceramic,40.7,11.1,Gray,Silicone,Brown,30,Mineral,Automatic,0,GMT,In Stock,1,USA
28252,Daniel Wellington,Minimalist,Petite,DA70187,6679.05,USD,04/05/2021,Unisex,Ceramic,40.5,13.9,Green,Canvas,Brown,200,Hardlex,Quartz,60,GMT,In Stock,2,Sweden
28253,Hamilton,Military,Khaki Field,HA27319,1998.71,USD,03/11/2020,Unisex,Bronze,41.5,14,Red,Nylon,Silver,300,Mineral,Automatic,0,World Time,Out of Stock,2,USA
28254,Garmin,Smartwatch,Fenix,GA44431,3330.49,USD,09/10/2020,Women's,Bioceramic,33.2,10.4,Red,Rubber,Silver,50,Plastic,Digital,40,Moonphase,Out of Stock,3,Taiwan
28255,Tissot,Classic,Le Locle,TI21678,2272.21,USD,20/10/2023,Unisex,Brass,35.7,8.1,Blue,Silicone,Brown,300,Plastic,Automatic,60,World Time,Pre-Order,2,Switzerland
28256,Montblanc,Luxury,1858 Geosphere,MO79367,8566.5,USD,29/09/2023,Women's,Brass,32.8,7.2,Silver,Leather,Black,300,Hardlex,Automatic,60,World Time,In Stock,3,Switzerland
28257,Hamilton,Military,Khaki Field,HA77376,7869.07,USD,01/06/2023,Unisex,Stainless Steel,41.3,13.8,Silver,Leather,Black,300,Plastic,Automatic,40,World Time,Out of Stock,3,USA
28258,Swatch,Fashion,MoonSwatch,SW36746,7283.06,USD,09/12/2021,Women's,Stainless Steel,34.3,6.5,Silver,Mesh Steel,Green,200,Plastic,Quartz,0,Moonphase,Limited Stock,3,Switzerland
28259,Timex,Casual,Weekender,TI97883,4420.21,USD,18/06/2021,Unisex,Ceramic,39.2,12.9,Gray,Rubber,Black,50,Mineral,Quartz,80,Chronograph,Limited Stock,2,USA
28260,Timex,Casual,Weekender,TI84205,7712.93,USD,18/03/2021,Men's,Bronze,39.9,9.6,Gray,Nylon,Brown,100,Gorilla Glass,Quartz,40,World Time,Limited Stock,2,USA
28261,Fossil,Fashion,Gen 6,FO12792,8595.12,USD,09/12/2020,Unisex,Bioceramic,32.1,7.1,White,Silicone,Blue,200,Mineral,Smart,60,Date,Pre-Order,2,USA
28262,Tissot,Classic,Le Locle,TI53373,2091.55,USD,07/12/2022,Men's,Stainless Steel,39.3,8.4,Green,Canvas,Brown,100,Hardlex,Automatic,80,Chronograph,Pre-Order,4,Switzerland
28263,Hublot,Luxury,Big Bang,HU28553,6427.64,USD,05/12/2023,Men's,Bronze,41.5,7.5,Black,Nylon,Gold,200,Sapphire,Automatic,40,World Time,Out of Stock,2,Switzerland
28264,Casio,Digital,G-Shock,CA99448,6104.17,USD,21/12/2022,Men's,Aluminum,43.3,12.8,Blue,Silicone,Silver,200,Hardlex,Digital,60,None,Pre-Order,4,Japan
28265,Garmin,Smartwatch,Fenix,GA94039,8907.28,USD,29/06/2023,Men's,Titanium,37.2,8,White,Leather,Red,300,Mineral,Digital,60,Chronograph,Limited Stock,5,Taiwan
28266,Montblanc,Luxury,1858 Geosphere,MO25525,7707.52,USD,12/01/2022,Women's,Ceramic,38.5,13.5,Red,Silicone,Silver,50,Mineral,Automatic,0,None,In Stock,2,Switzerland
28267,Rolex,Luxury,Oyster Perpetual,RO28646,12551.89,USD,19/02/2021,Men's,Titanium,41.3,9.6,White,Mesh Steel,Gold,30,Gorilla Glass,Automatic,70,Chronograph,In Stock,4,Switzerland
28268,Seiko,Sports,Prospex,SE94616,6679.67,USD,08/11/2022,Men's,Resin,32.3,11.4,White,Mesh Steel,Black,50,Mineral,Quartz,70,Chronograph,In Stock,5,Japan
28269,TAG Heuer,Sports,Carrera,TA45184,5540.59,USD,05/03/2024,Men's,Brass,34,12.3,Gold,Rubber,Gold,30,Hardlex,Automatic,0,None,Pre-Order,1,Switzerland
28270,Swatch,Fashion,MoonSwatch,SW22347,4173.96,USD,15/06/2021,Women's,Bioceramic,42.6,10.3,Gray,Silicone,Blue,50,Mineral,Quartz,70,None,Out of Stock,3,Switzerland
28271,Apple,Smartwatch,Watch Series,AP80151,14403.33,USD,19/06/2021,Women's,Bioceramic,45.3,7.9,Black,Mesh Steel,Brown,200,Plastic,Smart,70,Date,Limited Stock,2,China
28272,Apple,Smartwatch,Watch Series,AP72636,7537.28,USD,16/06/2025,Unisex,Stainless Steel,34.4,10.9,Black,Rubber,Red,100,Plastic,Smart,80,World Time,Pre-Order,3,China
28273,Omega,Dress,Speedmaster,OM59383,7223.84,USD,04/01/2024,Unisex,Bioceramic,39.9,10.9,Gold,Mesh Steel,Silver,30,Plastic,Automatic,70,GMT,Limited Stock,4,Switzerland
28274,Rolex,Luxury,Oyster Perpetual,RO67565,13906.7,USD,07/03/2024,Men's,Stainless Steel,45.6,11.2,Gray,Leather,Green,50,Gorilla Glass,Automatic,0,GMT,Pre-Order,5,Switzerland
28275,Garmin,Smartwatch,Fenix,GA45292,7488.15,USD,25/01/2021,Men's,Stainless Steel,35.5,9.5,Blue,Mesh Steel,Silver,200,Gorilla Glass,Digital,70,GMT,Out of Stock,4,Taiwan
28276,TAG Heuer,Sports,Carrera,TA44942,4718.55,USD,16/01/2022,Women's,Bronze,43.3,11.7,Gray,Silicone,Brown,300,Plastic,Automatic,40,World Time,In Stock,1,Switzerland
28277,Daniel Wellington,Minimalist,Petite,DA92382,2188.07,USD,14/08/2023,Men's,Stainless Steel,35.8,7.1,Silver,Leather,Silver,30,Gorilla Glass,Quartz,60,Date,Limited Stock,5,Sweden
28278,Hublot,Luxury,Big Bang,HU59225,7506.27,USD,17/10/2021,Unisex,Aluminum,44.1,10,Gold,Silicone,Silver,100,Hardlex,Automatic,0,Chronograph,In Stock,4,Switzerland
28279,Omega,Dress,Speedmaster,OM86044,7449.03,USD,14/11/2020,Unisex,Stainless Steel,33,8.5,Silver,Nylon,Red,30,Plastic,Automatic,80,None,Out of Stock,4,Switzerland
28280,Seiko,Sports,Prospex,SE75370,13238.87,USD,04/07/2022,Unisex,Stainless Steel,42.6,13.7,White,Leather,Black,300,Mineral,Quartz,80,None,Limited Stock,5,Japan
28281,Orient,Classic,Bambino,OR38059,1579.86,USD,31/12/2024,Women's,Resin,44.8,14.4,White,Silicone,Brown,30,Mineral,Automatic,70,GMT,Out of Stock,4,Japan
28282,Fossil,Fashion,Gen 6,FO93228,12452.6,USD,22/02/2021,Men's,Ceramic,38.6,6.8,Blue,Rubber,Silver,200,Sapphire,Smart,0,Moonphase,Pre-Order,3,USA
28283,Fossil,Fashion,Gen 6,FO41242,7427.67,USD,23/11/2023,Men's,Stainless Steel,35.5,11,Gray,Silicone,Red,30,Gorilla Glass,Smart,80,Moonphase,Out of Stock,1,USA
28284,Hamilton,Military,Khaki Field,HA12138,951.62,USD,28/05/2025,Unisex,Stainless Steel,37.5,13.8,Black,Leather,Silver,30,Gorilla Glass,Automatic,80,Chronograph,Pre-Order,2,USA
28285,Orient,Classic,Bambino,OR84807,7188.57,USD,11/06/2024,Women's,Bioceramic,33.8,9.9,Silver,Canvas,Black,300,Sapphire,Automatic,0,Date,Pre-Order,5,Japan
28286,Fossil,Fashion,Gen 6,FO68497,3800.92,USD,25/06/2024,Unisex,Aluminum,41.9,14.8,Black,Silicone,Silver,300,Plastic,Smart,0,Date,Pre-Order,2,USA
28287,Omega,Dress,Speedmaster,OM46669,1206.23,USD,04/07/2023,Unisex,Resin,36.4,7.2,White,Silicone,Blue,300,Hardlex,Automatic,60,Moonphase,In Stock,5,Switzerland
28288,Orient,Classic,Bambino,OR58725,11629.88,USD,01/11/2024,Men's,Ceramic,35.5,8.4,Blue,Leather,Green,300,Gorilla Glass,Automatic,70,World Time,Out of Stock,1,Japan
28289,TAG Heuer,Sports,Carrera,TA42070,2315.63,USD,07/06/2022,Unisex,Resin,41.6,14.1,Silver,Leather,Brown,50,Sapphire,Automatic,40,Moonphase,Out of Stock,3,Switzerland
28290,Hamilton,Military,Khaki Field,HA76114,10259.13,USD,03/09/2023,Men's,Titanium,40.4,7.1,Gold,Canvas,Black,300,Plastic,Automatic,0,Chronograph,Limited Stock,1,USA
28291,Hublot,Luxury,Big Bang,HU12030,981.06,USD,11/01/2021,Women's,Stainless Steel,45.3,10.6,Blue,Silicone,Green,30,Mineral,Automatic,0,Date,Out of Stock,2,Switzerland
28292,Garmin,Smartwatch,Fenix,GA35563,1181.67,USD,18/12/2021,Unisex,Brass,40.9,8.2,Blue,Canvas,Black,100,Mineral,Digital,80,GMT,In Stock,2,Taiwan
28293,TAG Heuer,Sports,Carrera,TA91942,3154.87,USD,13/01/2021,Men's,Aluminum,41.8,8.6,Green,Canvas,Brown,50,Plastic,Automatic,80,Date,Out of Stock,1,Switzerland
28294,Omega,Dress,Speedmaster,OM75572,11780.17,USD,03/10/2024,Men's,Ceramic,40.3,9.6,Gold,Leather,Gold,300,Hardlex,Automatic,80,Chronograph,Limited Stock,3,Switzerland
28295,Rolex,Luxury,Oyster Perpetual,RO73319,11269.37,USD,19/06/2021,Women's,Bioceramic,33,12.6,Blue,Leather,Brown,50,Sapphire,Automatic,0,GMT,Pre-Order,3,Switzerland
28296,Orient,Classic,Bambino,OR67088,747.72,USD,11/06/2021,Unisex,Titanium,41.5,12.7,Gray,Nylon,Black,30,Hardlex,Automatic,70,None,In Stock,1,Japan
28297,Hamilton,Military,Khaki Field,HA72766,2629.49,USD,17/08/2023,Women's,Stainless Steel,32.2,6.9,Silver,Silicone,Green,300,Hardlex,Automatic,80,Moonphase,Pre-Order,5,USA
28298,Citizen,Eco-Drive,Promaster,CI46953,2673.09,USD,14/11/2022,Women's,Titanium,41.2,10.4,Blue,Nylon,Gold,300,Mineral,Solar Powered,60,None,In Stock,3,Japan
28299,Apple,Smartwatch,Watch Series,AP48327,12902.77,USD,30/09/2023,Women's,Aluminum,41.8,14.1,Gold,Rubber,Black,50,Mineral,Smart,0,Date,Limited Stock,3,China
28300,Timex,Casual,Weekender,TI20285,13066.96,USD,09/12/2020,Men's,Ceramic,36.4,10,White,Nylon,Brown,50,Mineral,Quartz,60,Chronograph,Limited Stock,4,USA
28301,Longines,Dress,Master Collection,LO98183,7309.98,USD,02/10/2023,Unisex,Bioceramic,44.1,12.1,White,Canvas,Gold,100,Gorilla Glass,Automatic,0,None,Limited Stock,3,Switzerland
28302,Hamilton,Military,Khaki Field,HA29910,2645.9,USD,29/04/2021,Men's,Resin,37.3,12.5,Silver,Mesh Steel,Gold,200,Hardlex,Automatic,60,None,Limited Stock,4,USA
28303,Swatch,Fashion,MoonSwatch,SW74623,2436.82,USD,09/02/2023,Men's,Aluminum,36.2,13.1,White,Canvas,Red,100,Sapphire,Quartz,80,World Time,Limited Stock,1,Switzerland
28304,Apple,Smartwatch,Watch Series,AP52165,8114.96,USD,04/12/2022,Unisex,Bioceramic,36.5,9.9,Silver,Rubber,Blue,300,Plastic,Smart,0,Date,In Stock,1,China
28305,Tissot,Classic,Le Locle,TI69078,14604.12,USD,27/02/2023,Women's,Resin,33.5,10.3,White,Mesh Steel,Red,200,Gorilla Glass,Automatic,0,Moonphase,In Stock,5,Switzerland
28306,Hamilton,Military,Khaki Field,HA40987,1711.36,USD,06/10/2022,Women's,Resin,35.8,13.8,Green,Rubber,Green,200,Mineral,Automatic,60,None,Pre-Order,2,USA
28307,Swatch,Fashion,MoonSwatch,SW54289,5468.56,USD,29/08/2020,Women's,Bronze,35.6,12.7,Gold,Canvas,Silver,300,Sapphire,Quartz,80,Moonphase,In Stock,4,Switzerland
28308,Hamilton,Military,Khaki Field,HA58028,3140.22,USD,11/06/2025,Men's,Bronze,36.2,12.4,Gold,Mesh Steel,Black,300,Sapphire,Automatic,60,Chronograph,Out of Stock,5,USA
28309,TAG Heuer,Sports,Carrera,TA13083,6582.89,USD,12/10/2023,Unisex,Stainless Steel,44.9,13,Silver,Silicone,Blue,300,Sapphire,Automatic,60,None,Limited Stock,1,Switzerland
28310,Seiko,Sports,Prospex,SE12614,7871.97,USD,23/08/2024,Women's,Resin,39.5,10.2,Green,Silicone,Brown,50,Sapphire,Quartz,80,Date,Out of Stock,2,Japan
28311,Apple,Smartwatch,Watch Series,AP47775,1943.08,USD,10/10/2023,Unisex,Resin,36.7,12.3,Blue,Nylon,Brown,200,Gorilla Glass,Smart,40,GMT,In Stock,2,China
28312,Casio,Digital,G-Shock,CA99227,1565.17,USD,31/12/2023,Men's,Resin,35.4,8.1,Black,Silicone,Gold,200,Hardlex,Digital,0,World Time,In Stock,5,Japan
28313,Longines,Dress,Master Collection,LO57819,7498.65,USD,02/06/2021,Men's,Ceramic,35.9,6.6,Blue,Nylon,Brown,300,Plastic,Automatic,60,None,Limited Stock,3,Switzerland
28314,TAG Heuer,Sports,Carrera,TA66551,14586.97,USD,26/08/2023,Men's,Resin,34.6,13.5,Black,Nylon,Red,300,Hardlex,Automatic,40,GMT,Pre-Order,1,Switzerland
28315,Timex,Casual,Weekender,TI10551,9189.02,USD,03/06/2024,Men's,Brass,42.9,12.5,White,Leather,Silver,200,Gorilla Glass,Quartz,40,Moonphase,Out of Stock,2,USA
28316,Hublot,Luxury,Big Bang,HU18997,10754.96,USD,31/05/2025,Women's,Ceramic,37,14.7,Gold,Nylon,Red,200,Sapphire,Automatic,40,None,Limited Stock,5,Switzerland
28317,Omega,Dress,Speedmaster,OM52241,2505.95,USD,15/11/2024,Unisex,Titanium,33.7,10.1,Green,Rubber,Red,200,Mineral,Automatic,60,Moonphase,Limited Stock,2,Switzerland
28318,TAG Heuer,Sports,Carrera,TA88769,1462.29,USD,16/06/2023,Unisex,Aluminum,43.4,11.5,Gold,Leather,Black,30,Mineral,Automatic,60,Moonphase,In Stock,2,Switzerland
28319,Garmin,Smartwatch,Fenix,GA10723,4531.66,USD,02/01/2022,Women's,Stainless Steel,44.7,12.9,Gold,Mesh Steel,Green,30,Mineral,Digital,0,Date,Out of Stock,2,Taiwan
28320,Garmin,Smartwatch,Fenix,GA99704,5188.11,USD,26/07/2020,Women's,Bronze,34.7,8.4,Black,Leather,Red,30,Plastic,Digital,70,World Time,In Stock,3,Taiwan
28321,Fossil,Fashion,Gen 6,FO23356,10654.87,USD,15/11/2023,Women's,Aluminum,33,13.9,Gold,Leather,Brown,30,Mineral,Smart,80,Chronograph,Pre-Order,3,USA
28322,Hamilton,Military,Khaki Field,HA85349,9461.63,USD,18/04/2022,Women's,Resin,37.4,14.2,Gray,Canvas,Brown,100,Gorilla Glass,Automatic,60,Chronograph,Out of Stock,2,USA
28323,Casio,Digital,G-Shock,CA39227,14923.82,USD,18/06/2023,Unisex,Aluminum,36.3,10.2,Black,Nylon,Black,30,Hardlex,Digital,80,None,In Stock,1,Japan
28324,Daniel Wellington,Minimalist,Petite,DA63789,279.52,USD,03/07/2024,Women's,Resin,35.1,14.1,Gray,Silicone,Black,30,Sapphire,Quartz,60,Moonphase,In Stock,5,Sweden
28325,Garmin,Smartwatch,Fenix,GA45841,2017.98,USD,02/12/2023,Women's,Aluminum,40.2,12.1,Red,Rubber,Brown,200,Mineral,Digital,0,Chronograph,Pre-Order,2,Taiwan
28326,Apple,Smartwatch,Watch Series,AP88879,4964.13,USD,10/05/2023,Unisex,Resin,45.8,13,Blue,Nylon,Green,30,Sapphire,Smart,60,None,Limited Stock,5,China
28327,Fossil,Fashion,Gen 6,FO44199,553.55,USD,14/02/2023,Men's,Stainless Steel,44,7.4,Red,Canvas,Green,100,Hardlex,Smart,70,World Time,Limited Stock,3,USA
28328,Longines,Dress,Master Collection,LO31958,12471.38,USD,15/09/2023,Women's,Resin,39.4,10,Blue,Leather,Red,100,Gorilla Glass,Automatic,0,Date,Out of Stock,1,Switzerland
28329,Daniel Wellington,Minimalist,Petite,DA13748,12214.46,USD,22/09/2020,Women's,Ceramic,36.4,7.2,Red,Canvas,Gold,300,Plastic,Quartz,0,World Time,Limited Stock,3,Sweden
28330,Apple,Smartwatch,Watch Series,AP43971,4124.58,USD,12/02/2025,Unisex,Bronze,38.1,14.8,Gold,Mesh Steel,Red,30,Mineral,Smart,80,Chronograph,Out of Stock,2,China
28331,Longines,Dress,Master Collection,LO18252,1709.04,USD,22/12/2021,Men's,Bioceramic,44.4,13.9,Gray,Mesh Steel,Gold,300,Mineral,Automatic,70,Date,Pre-Order,5,Switzerland
28332,Tissot,Classic,Le Locle,TI53772,10490.57,USD,09/10/2022,Unisex,Stainless Steel,36.8,6.6,Gray,Nylon,Silver,30,Mineral,Automatic,0,Moonphase,Limited Stock,1,Switzerland
28333,Swatch,Fashion,MoonSwatch,SW32827,4873.37,USD,05/08/2020,Men's,Aluminum,42.4,7.4,Red,Mesh Steel,Silver,100,Plastic,Quartz,70,Moonphase,Pre-Order,4,Switzerland
28334,Swatch,Fashion,MoonSwatch,SW24980,12140.02,USD,14/02/2021,Women's,Resin,39.8,14.2,Blue,Canvas,Brown,30,Sapphire,Quartz,80,Moonphase,In Stock,2,Switzerland
28335,Garmin,Smartwatch,Fenix,GA78961,613.03,USD,06/08/2021,Unisex,Brass,35.4,8.8,White,Rubber,Brown,50,Sapphire,Digital,60,None,Out of Stock,4,Taiwan
28336,Garmin,Smartwatch,Fenix,GA45104,4796.72,USD,23/06/2025,Men's,Bronze,43.9,8.1,Black,Canvas,Black,300,Plastic,Digital,0,GMT,Pre-Order,3,Taiwan
28337,Orient,Classic,Bambino,OR87381,4104.62,USD,27/10/2021,Women's,Resin,38.4,11.2,Silver,Canvas,Black,100,Gorilla Glass,Automatic,60,None,Limited Stock,3,Japan
28338,Apple,Smartwatch,Watch Series,AP76479,10557.49,USD,28/08/2021,Unisex,Stainless Steel,38.1,14.7,Silver,Leather,Gold,50,Gorilla Glass,Smart,60,Date,Limited Stock,3,China
28339,Daniel Wellington,Minimalist,Petite,DA29506,5007.68,USD,17/10/2020,Men's,Resin,39.6,6.9,White,Rubber,Green,30,Mineral,Quartz,0,None,Out of Stock,5,Sweden
28340,Fossil,Fashion,Gen 6,FO85369,3404.82,USD,27/10/2022,Women's,Bioceramic,37.6,10.8,Black,Rubber,Green,300,Plastic,Smart,70,Chronograph,Out of Stock,4,USA
28341,Citizen,Eco-Drive,Promaster,CI25636,5962.96,USD,16/08/2020,Unisex,Bioceramic,36,14.1,White,Rubber,Green,30,Hardlex,Solar Powered,80,Date,Pre-Order,2,Japan
28342,Citizen,Eco-Drive,Promaster,CI88011,5982.67,USD,23/04/2025,Men's,Brass,43.8,13.2,Blue,Rubber,Silver,100,Mineral,Solar Powered,70,GMT,In Stock,5,Japan
28343,Longines,Dress,Master Collection,LO71844,8996.82,USD,13/05/2024,Women's,Aluminum,33,13.3,Gold,Rubber,Green,300,Mineral,Automatic,0,GMT,Pre-Order,1,Switzerland
28344,Rolex,Luxury,Oyster Perpetual,RO64382,242.08,USD,08/10/2024,Unisex,Resin,40.7,11.6,Gray,Canvas,Green,30,Sapphire,Automatic,80,Moonphase,In Stock,5,Switzerland
28345,Casio,Digital,G-Shock,CA94672,13502.91,USD,23/04/2024,Unisex,Resin,42,7.6,White,Canvas,Blue,50,Sapphire,Digital,40,World Time,Pre-Order,2,Japan
28346,TAG Heuer,Sports,Carrera,TA24127,11714.92,USD,10/04/2021,Men's,Stainless Steel,34.1,12.9,Blue,Silicone,Gold,100,Plastic,Automatic,0,Moonphase,Pre-Order,3,Switzerland
28347,Longines,Dress,Master Collection,LO63230,6415.5,USD,22/10/2020,Women's,Bioceramic,36.8,13.4,Black,Canvas,Brown,100,Mineral,Automatic,40,None,Limited Stock,3,Switzerland
28348,Fossil,Fashion,Gen 6,FO68660,14549.47,USD,07/05/2022,Men's,Brass,39.5,9.7,Green,Nylon,Green,100,Hardlex,Smart,70,World Time,Limited Stock,2,USA
28349,Tissot,Classic,Le Locle,TI30387,5184.55,USD,23/11/2022,Men's,Ceramic,45.9,10.1,Black,Rubber,Blue,300,Mineral,Automatic,80,GMT,In Stock,1,Switzerland
28350,Fossil,Fashion,Gen 6,FO68269,6609.96,USD,02/07/2022,Men's,Ceramic,33.4,12.8,Silver,Silicone,Blue,30,Gorilla Glass,Smart,60,World Time,In Stock,2,USA
28351,Orient,Classic,Bambino,OR31038,3751.97,USD,10/02/2023,Men's,Stainless Steel,32.9,11.3,Blue,Leather,Blue,30,Mineral,Automatic,80,Date,Out of Stock,5,Japan
28352,Casio,Digital,G-Shock,CA94262,5604.52,USD,10/02/2023,Women's,Stainless Steel,43.3,7.9,Red,Leather,Gold,50,Mineral,Digital,0,World Time,Out of Stock,5,Japan
28353,Tissot,Classic,Le Locle,TI61966,9650.29,USD,12/03/2021,Unisex,Bioceramic,34.5,8.5,White,Rubber,Blue,200,Plastic,Automatic,0,World Time,Limited Stock,5,Switzerland
